0000 | 13a6
5dc0 | 16e8
5dd0 | 14bc
5de0 | 46e4
5df0 | 4680
5e00 | 14bc
5e10 | 16e8
5e20 | 495d
5e30 | 4910
5e40 | 16e8
5e50 | 14bc
5e60 | 14bc
5e70 | 14bc
5e80 | 14d6
5e90 | 16e9
5ea0 | 16e8
5eb0 | 16e8
5ec0 | 16e8
5ed0 | 14bc
5ee0 | 14bc
5ef0 | 14bc
5f00 | 14bd
5f10 | 16cf
5f20 | 492a
5f30 | 49c1
5f40 | 16e8
5f50 | 14a2
5f60 | 4699
5f70 | 4699
5f80 | 14bc
5f90 | 16e8
5fa0 | 16cf
5fb0 | 16e8
5fc0 | 16e8
5fd0 | 1701
5fe0 | 171a
5ff0 | 171b
6000 | 171b
6010 | 1701
6020 | 4a26
6030 | 49f4
6040 | 4a40
6050 | 4b23
6060 | 1701
6070 | 171a
6080 | 49a8
6090 | 49db
60a0 | 171a
60b0 | 171a
60c0 | 49a8
60d0 | 4a0e
60e0 | 171b
60f0 | 171a
6100 | 171a
6110 | 1701
6120 | 1799
6130 | 1701
6140 | 49da
6150 | 495c
6160 | 49c2
6170 | 495d
6180 | 49c2
6190 | 49a8
61a0 | 4a26
61b0 | 4a27
61c0 | 1702
61d0 | 1701
61e0 | 49f4
61f0 | 4975
6200 | 16e8
6210 | 1701
6220 | 1701
6230 | 16e8
6240 | 1701
6250 | 171a
6260 | 1701
6270 | 1701
6280 | 171b
6290 | 171b
62a0 | 171b
62b0 | 171b
62c0 | 4976
62d0 | 47fb
62e0 | 4814
62f0 | 47c8
6300 | 15d2
6310 | 16e8
6320 | 16ce
6330 | 16cf
6340 | 1701
6350 | 15eb
6360 | 15ec
6370 | 15ec
6380 | 1604
6390 | 16e8
63a0 | 1702
63b0 | 171a
63c0 | 49f4
63d0 | 4910
63e0 | 15d2
63f0 | 15eb
6400 | 15d2
6410 | 1701
6420 | 4a0d
6430 | 49f4
6440 | 4a40
6450 | 4929
6460 | 1605
6470 | 15ec
6480 | 492a
6490 | 4a0d
64a0 | 4a27
64b0 | 4a59
64c0 | 1701
64d0 | 1605
64e0 | 1605
64f0 | 15eb
6500 | 1605
6510 | 1701
6520 | 4aa5
6530 | 4c39
6540 | 4ad7
6550 | 48ac
6560 | 4929
6570 | 4943
6580 | 1605
6590 | 1701
65a0 | 1701
65b0 | 1701
65c0 | 4bed
65d0 | 4ad8
65e0 | 498f
65f0 | 49c1
6600 | 16e8
6610 | 17e5
6620 | 4aa5
6630 | 4abe
6640 | 17e5
6650 | 171a
6660 | 4a5a
6670 | 4a26
6680 | 1701
6690 | 1817
66a0 | 4bd4
66b0 | 4bd4
66c0 | 1817
66d0 | 1701
66e0 | 171b
66f0 | 16e8
6700 | 1702
6710 | 1818
6720 | 1817
6730 | 1817
6740 | 1817
6750 | 15ec
6760 | 451d
6770 | 4813
6780 | 1604
6790 | 15eb
67a0 | 1604
67b0 | 15eb
67c0 | 13a6
67d0 | 13a6
67e0 | 13bf
67f0 | 13d9
6800 | 13a6
6810 | 13c0
6820 | 4550
6830 | 4847
6840 | 4814
6850 | 45b5
6860 | 45b5
6870 | 45e8
6880 | 13c0
6890 | 15eb
68a0 | 15ec
68b0 | 15d3
68c0 | 15ec
68d0 | 13a6
68e0 | 13a6
68f0 | 13a6
6900 | 45b5
6910 | 47fa
6920 | 4814
6930 | 482d
6940 | 15ec
6950 | 13a6
6960 | 4569
6970 | 4634
6980 | 4537
6990 | 4814
69a0 | 15eb
69b0 | 15d2
69c0 | 15ec
69d0 | 14ef
69e0 | 14bc
69f0 | 14ef
6a00 | 477c
6a10 | 49c2
6a20 | 4a40
6a30 | 4abe
6a40 | 4a40
6a50 | 47c8
6a60 | 14d5
6a70 | 14d5
6a80 | 4699
6a90 | 4976
6aa0 | 49f4
6ab0 | 4a27
6ac0 | 4a3f
6ad0 | 4731
6ae0 | 46b2
6af0 | 464d
6b00 | 14d5
6b10 | 1701
6b20 | 1702
6b30 | 16e8
6b40 | 49db
6b50 | 46fe
6b60 | 14d5
6b70 | 14d5
6b80 | 47c8
6b90 | 49db
6ba0 | 1701
6bb0 | 1701
6bc0 | 492a
6bd0 | 467f
6be0 | 4795
6bf0 | 474a
6c00 | 14d5
6c10 | 1701
6c20 | 1701
6c30 | 1702
6c40 | 4a40
6c50 | 4796
6c60 | 46b2
6c70 | 4730
6c80 | 46fe
6c90 | 498f
6ca0 | 171b
6cb0 | 1702
6cc0 | 4a27
6cd0 | 4a73
6ce0 | 49c1
6cf0 | 4a0d
6d00 | 1734
6d10 | 171a
6d20 | 171b
6d30 | 1734
6d40 | 171b
6d50 | 171b
6d60 | 1701
6d70 | 171b
6d80 | 1701
6d90 | 171a
6da0 | 171a
6db0 | 1734
6dc0 | 1734
6dd0 | 171b
6de0 | 4abe
6df0 | 4a0d
6e00 | 4975
6e10 | 49a8
6e20 | 4a8c
6e30 | 4b3d
6e40 | 49a8
6e50 | 498f
6e60 | 4a27
6e70 | 4a40
6e80 | 1701
6e90 | 1702
6ea0 | 171b
6eb0 | 1701
6ec0 | 171a
6ed0 | 16e8
6ee0 | 4a59
6ef0 | 49a8
6f00 | 1702
6f10 | 1701
6f20 | 1701
6f30 | 1780
6f40 | 16e8
6f50 | 171b
6f60 | 171b
6f70 | 171b
6f80 | 1702
6f90 | 171b
6fa0 | 171a
6fb0 | 171b
6fc0 | 498f
6fd0 | 4879
6fe0 | 48ab
6ff0 | 4879
7000 | 4879
7010 | 4a0d
7020 | 1701
7030 | 1702
7040 | 4a27
7050 | 4a59
7060 | 48c5
7070 | 48c5
7080 | 15d3
7090 | 1701
70a0 | 1701
70b0 | 1701
70c0 | 49a9
70d0 | 485f
70e0 | 15eb
70f0 | 15eb
7100 | 48c5
7110 | 49f4
7120 | 4975
7130 | 4976
7140 | 1701
7150 | 161e
7160 | 49f4
7170 | 48de
7180 | 4846
7190 | 49a8
71a0 | 1701
71b0 | 171b
71c0 | 171b
71d0 | 15eb
71e0 | 1605
71f0 | 1604
7200 | 4814
7210 | 498f
7220 | 1702
7230 | 1701
7240 | 4b6f
7250 | 49db
7260 | 48f8
7270 | 4911
7280 | 47fa
7290 | 49db
72a0 | 49c2
72b0 | 498f
72c0 | 171b
72d0 | 16e8
72e0 | 1701
72f0 | 1702
7300 | 4a59
7310 | 4bd5
7320 | 1818
7330 | 1817
7340 | 4b6f
7350 | 4a26
7360 | 4a0e
7370 | 4a0d
7380 | 1701
7390 | 1817
73a0 | 4bd5
73b0 | 4c6c
73c0 | 1818
73d0 | 1701
73e0 | 4a8c
73f0 | 49f4
7400 | 498f
7410 | 4abe
7420 | 4c07
7430 | 4ad7
7440 | 4af1
7450 | 4976
7460 | 46b2
7470 | 48ac
7480 | 15d2
7490 | 15ec
74a0 | 4847
74b0 | 482d
74c0 | 45cf
74d0 | 459c
74e0 | 4504
74f0 | 451d
7500 | 13bf
7510 | 13bf
7520 | 44b9
7530 | 47e2
7540 | 4a73
7550 | 4717
7560 | 459c
7570 | 4537
7580 | 13a6
7590 | 15ec
75a0 | 15d2
75b0 | 15eb
75c0 | 47af
75d0 | 44d1
75e0 | 13bf
75f0 | 13a6
7600 | 44d2
7610 | 47fb
7620 | 47ae
7630 | 47c8
7640 | 48ab
7650 | 461b
7660 | 13a6
7670 | 13bf
7680 | 13c0
7690 | 15eb
76a0 | 48c5
76b0 | 4892
76c0 | 48ac
76d0 | 4860
76e0 | 4763
76f0 | 46fe
7700 | 4763
7710 | 4a8c
7720 | 171a
7730 | 171b
7740 | 4943
7750 | 46cb
7760 | 14d5
7770 | 14bc
7780 | 14d5
7790 | 1701
77a0 | 492a
77b0 | 48f8
77c0 | 1702
77d0 | 14bc
77e0 | 14bc
77f0 | 14d6
7800 | 14d5
7810 | 16e8
7820 | 1deb
7830 | 2636
7840 | 16e8
7850 | 14bc
7860 | 14d5
7870 | 14d6
7880 | 4763
7890 | 4a8b
78a0 | 49f4
78b0 | 4a26
78c0 | 1702
78d0 | 14d6
78e0 | 46e5
78f0 | 4730
7900 | 4666
7910 | 4943
7920 | 498f
7930 | 49a8
7940 | 4976
7950 | 464d
7960 | 4666
7970 | 467f
7980 | 14d5
7990 | 1701
79a0 | 4b23
79b0 | 49f4
79c0 | 498f
79d0 | 49a8
79e0 | 171b
79f0 | 171a
7a00 | 171b
7a10 | 171b
7a20 | 4abf
7a30 | 49c1
7a40 | 171b
7a50 | 171b
7a60 | 171b
7a70 | 171b
7a80 | 1734
7a90 | 171a
7aa0 | 4ba2
7ab0 | 4976
7ac0 | 4a26
7ad0 | 4a72
7ae0 | 171a
7af0 | 1701
7b00 | 4b56
7b10 | 4ad8
7b20 | 171a
7b30 | 171b
7b40 | 171a
7b50 | 1702
7b60 | 4b56
7b70 | 4c9f
7b80 | 1734
7b90 | 1701
7ba0 | 171b
7bb0 | 1701
7bc0 | 49a9
7bd0 | 492a
7be0 | 1702
7bf0 | 1701
7c00 | 49a8
7c10 | 495d
7c20 | 49a8
7c30 | 49db
7c40 | 49c1
7c50 | 4976
7c60 | 49a8
7c70 | 49c2
7c80 | 4a27
7c90 | 4a8b
7ca0 | 49a8
7cb0 | 49a8
7cc0 | 4aa5
7cd0 | 4943
7ce0 | 4911
7cf0 | 495d
7d00 | 4892
7d10 | 4aa5
7d20 | 49c1
7d30 | 4a0d
7d40 | 495c
7d50 | 4846
7d60 | 4795
7d70 | 47fa
7d80 | 1605
7d90 | 1701
7da0 | 1701
7db0 | 1701
7dc0 | 1701
7dd0 | 15eb
7de0 | 1605
7df0 | 15d2
7e00 | 15eb
7e10 | 1701
7e20 | 1701
7e30 | 1702
7e40 | 171a
7e50 | 161e
7e60 | 4943
7e70 | 492a
7e80 | 482d
7e90 | 495c
7ea0 | 1702
7eb0 | 171b
7ec0 | 4a59
7ed0 | 4910
7ee0 | 4911
7ef0 | 4943
7f00 | 4847
7f10 | 49da
7f20 | 498f
7f30 | 498f
7f40 | 49c1
7f50 | 48f7
7f60 | 47fa
7f70 | 4847
7f80 | 1605
7f90 | 171a
7fa0 | 49db
7fb0 | 49c2
7fc0 | 171a
7fd0 | 1701
7fe0 | 4a59
7ff0 | 4929
8000 | 4910
8010 | 4ad7
8020 | 4af1
8030 | 4ad7
8040 | 4ad7
8050 | 49db
8060 | 1701
8070 | 1702
8080 | 4a27
8090 | 4d4f
80a0 | 4af1
80b0 | 4b24
80c0 | 1818
80d0 | 171b
80e0 | 1702
80f0 | 1701
8100 | 4a59
8110 | 4b89
8120 | 4af0
8130 | 4af0
8140 | 4abe
8150 | 4846
8160 | 4583
8170 | 4879
8180 | 4943
8190 | 482d
81a0 | 4879
81b0 | 47fb
81c0 | 45cf
81d0 | 44eb
81e0 | 45b5
81f0 | 4601
8200 | 44eb
8210 | 44eb
8220 | 4537
8230 | 47c8
8240 | 49c1
8250 | 46b1
8260 | 4582
8270 | 459c
8280 | 45b5
8290 | 4860
82a0 | 15eb
82b0 | 15eb
82c0 | 15d2
82d0 | 13a6
82e0 | 13a6
82f0 | 13a6
8300 | 13bf
8310 | 15eb
8320 | 15ec
8330 | 15eb
8340 | 15d3
8350 | 13a6
8360 | 13a6
8370 | 13a6
8380 | 4504
8390 | 482d
83a0 | 47e1
83b0 | 47c8
83c0 | 15eb
83d0 | 14d5
83e0 | 4763
83f0 | 4731
8400 | 46cb
8410 | 4943
8420 | 1701
8430 | 171b
8440 | 171a
8450 | 14d6
8460 | 46cc
8470 | 46b2
8480 | 14bc
8490 | 16e9
84a0 | 498f
84b0 | 49db
84c0 | 1701
84d0 | 14bd
84e0 | 46cb
84f0 | 46b2
8500 | 4699
8510 | 49da
8520 | 1701
8530 | 1701
8540 | 16e8
8550 | 14d5
8560 | 46b2
8570 | 464d
8580 | 4634
8590 | 49a8
85a0 | 16e8
85b0 | 1701
85c0 | 498f
85d0 | 46fe
85e0 | 14d6
85f0 | 14ef
8600 | 14d5
8610 | 1701
8620 | 1701
8630 | 1702
8640 | 4ad7
8650 | 4749
8660 | 46e4
8670 | 46cb
8680 | 14d5
8690 | 1701
86a0 | 4a0e
86b0 | 4a0d
86c0 | 49c1
86d0 | 4a40
86e0 | 171b
86f0 | 171b
8700 | 171b
8710 | 171a
8720 | 1701
8730 | 1701
8740 | 171b
8750 | 1701
8760 | 171b
8770 | 1702
8780 | 171b
8790 | 171b
87a0 | 4b56
87b0 | 4ad8
87c0 | 495c
87d0 | 4976
87e0 | 49f4
87f0 | 4a5a
8800 | 49c1
8810 | 4a26
8820 | 4976
8830 | 49a8
8840 | 1701
8850 | 171b
8860 | 49f4
8870 | 4a26
8880 | 1702
8890 | 171a
88a0 | 4a3f
88b0 | 4a8c
88c0 | 4b3c
88d0 | 49f4
88e0 | 4975
88f0 | 49f4
8900 | 16e8
8910 | 1702
8920 | 16e8
8930 | 171b
8940 | 1701
8950 | 171b
8960 | 171a
8970 | 171b
8980 | 495c
8990 | 498f
89a0 | 49c2
89b0 | 4ad7
89c0 | 171b
89d0 | 1605
89e0 | 4860
89f0 | 47e2
8a00 | 47e1
8a10 | 4943
8a20 | 1701
8a30 | 16e8
8a40 | 1701
8a50 | 15eb
8a60 | 15eb
8a70 | 15ec
8a80 | 47c8
8a90 | 492a
8aa0 | 16e8
8ab0 | 171b
8ac0 | 1702
8ad0 | 15ec
8ae0 | 49c2
8af0 | 49c2
8b00 | 15eb
8b10 | 16e9
8b20 | 49a8
8b30 | 49db
8b40 | 1701
8b50 | 1605
8b60 | 161e
8b70 | 1605
8b80 | 48c5
8b90 | 49da
8ba0 | 4af1
8bb0 | 4cb7
8bc0 | 1701
8bd0 | 15eb
8be0 | 1604
8bf0 | 161e
8c00 | 1605
8c10 | 171a
8c20 | 171a
8c30 | 171b
8c40 | 171a
8c50 | 161e
8c60 | 4879
8c70 | 4976
8c80 | 482e
8c90 | 4976
8ca0 | 4975
8cb0 | 49c1
8cc0 | 4ba1
8cd0 | 4b3d
8ce0 | 1701
8cf0 | 1702
8d00 | 1702
8d10 | 17ff
8d20 | 1817
8d30 | 1817
8d40 | 4b0a
8d50 | 49db
8d60 | 498f
8d70 | 4975
8d80 | 4a26
8d90 | 4af1
8da0 | 17fe
8db0 | 1817
8dc0 | 4abe
8dd0 | 4944
8de0 | 4a26
8df0 | 4a0d
8e00 | 48f7
8e10 | 4abe
8e20 | 4ad8
8e30 | 4ad8
8e40 | 4b6f
8e50 | 4846
8e60 | 45b5
8e70 | 49db
8e80 | 15eb
8e90 | 15eb
8ea0 | 15d2
8eb0 | 15eb
8ec0 | 13bf
8ed0 | 13a6
8ee0 | 13a6
8ef0 | 13bf
8f00 | 44d1
8f10 | 45b5
8f20 | 13a6
8f30 | 15eb
8f40 | 47e1
8f50 | 4504
8f60 | 451d
8f70 | 4537
8f80 | 4698
8f90 | 4879
8fa0 | 48f7
8fb0 | 4976
8fc0 | 15ec
8fd0 | 13bf
8fe0 | 13a6
8ff0 | 13a6
9000 | 13a6
9010 | 15d2
9020 | 4860
9030 | 4860
9040 | 47fb
9050 | 4505
9060 | 4537
9070 | 4504
9080 | 464d
9090 | 4976
90a0 | 15d2
90b0 | 15d3
90c0 | 4975
90d0 | 4730
90e0 | 4796
90f0 | 47c8
9100 | 4763
9110 | 4a40
9120 | 49f4
9130 | 49f4
9140 | 4a40
9150 | 47af
9160 | 46e4
9170 | 4634
9180 | 14d6
9190 | 1701
91a0 | 4b0a
91b0 | 4a0d
91c0 | 492a
91d0 | 464c
91e0 | 4634
91f0 | 4634
9200 | 46b2
9210 | 4a73
9220 | 16e8
9230 | 16e8
9240 | 492a
9250 | 46fe
9260 | 14d5
9270 | 14bc
9280 | 14d5
9290 | 1701
92a0 | 16e8
92b0 | 16e8
92c0 | 1702
92d0 | 14d5
92e0 | 14bc
92f0 | 14d6
9300 | 14d5
9310 | 16e8
9320 | 1702
9330 | 16e8
9340 | 16e8
9350 | 14bc
9360 | 14bc
9370 | 14bc
9380 | 4814
9390 | 49a8
93a0 | 49c2
93b0 | 49a8
93c0 | 49a8
93d0 | 49c1
93e0 | 1701
93f0 | 171b
9400 | 49f4
9410 | 49a9
9420 | 49a9
9430 | 4975
9440 | 171a
9450 | 1734
9460 | 4b3d
9470 | 4aa5
9480 | 49c2
9490 | 4943
94a0 | 171b
94b0 | 171a
94c0 | 1734
94d0 | 171b
94e0 | 171b
94f0 | 171b
9500 | 495d
9510 | 498f
9520 | 1701
9530 | 171a
9540 | 492a
9550 | 4976
9560 | 4a0e
9570 | 4a72
9580 | 1702
9590 | 1701
95a0 | 1701
95b0 | 1701
95c0 | 4abf
95d0 | 4a40
95e0 | 1702
95f0 | 16e8
9600 | 498f
9610 | 4976
9620 | 4a73
9630 | 49c2
9640 | 16e8
9650 | 1702
9660 | 171b
9670 | 171b
9680 | 49a8
9690 | 49db
96a0 | 1702
96b0 | 171b
96c0 | 171b
96d0 | 15d2
96e0 | 15eb
96f0 | 15d2
9700 | 15d2
9710 | 16e8
9720 | 4abe
9730 | 4c21
9740 | 1702
9750 | 15eb
9760 | 15eb
9770 | 15ec
9780 | 15eb
9790 | 1799
97a0 | 171a
97b0 | 1702
97c0 | 4911
97d0 | 482d
97e0 | 47fa
97f0 | 4814
9800 | 47e1
9810 | 4943
9820 | 1702
9830 | 1701
9840 | 49db
9850 | 485f
9860 | 48ab
9870 | 48ab
9880 | 482d
9890 | 49f4
98a0 | 1702
98b0 | 171b
98c0 | 171b
98d0 | 1604
98e0 | 4893
98f0 | 482d
9900 | 1604
9910 | 171b
9920 | 1702
9930 | 171a
9940 | 492a
9950 | 47e1
9960 | 48f7
9970 | 495d
9980 | 482d
9990 | 49a8
99a0 | 171a
99b0 | 171b
99c0 | 171a
99d0 | 1702
99e0 | 1702
99f0 | 1701
9a00 | 1702
9a10 | 1818
9a20 | 1817
9a30 | 17fe
9a40 | 17ff
9a50 | 16e8
9a60 | 1701
9a70 | 16e8
9a80 | 16e9
9a90 | 17ff
9aa0 | 1817
9ab0 | 1818
9ac0 | 1817
9ad0 | 1702
9ae0 | 16e8
9af0 | 1702
9b00 | 4976
9b10 | 4b23
9b20 | 17fe
9b30 | 17fe
9b40 | 17fe
9b50 | 15d2
9b60 | 4537
9b70 | 4846
9b80 | 15d2
9b90 | 15eb
9ba0 | 15ec
9bb0 | 15ec
9bc0 | 4505
9bd0 | 461a
9be0 | 4633
9bf0 | 4601
9c00 | 451e
9c10 | 44eb
9c20 | 456a
9c30 | 47fb
9c40 | 15d2
9c50 | 13a6
9c60 | 45ce
9c70 | 4569
9c80 | 13a6
9c90 | 15d2
9ca0 | 15eb
9cb0 | 15d2
9cc0 | 15eb
9cd0 | 13bf
9ce0 | 13bf
9cf0 | 13a6
9d00 | 13a7
9d10 | 15eb
9d20 | 15ec
9d30 | 15ec
9d40 | 15d2
9d50 | 13a6
9d60 | 45ce
9d70 | 45b5
9d80 | 464d
9d90 | 4a73
9da0 | 15eb
9db0 | 15d2
9dc0 | 495c
9dd0 | 4814
9de0 | 46b2
9df0 | 4680
9e00 | 4666
9e10 | 498f
9e20 | 171a
9e30 | 1702
9e40 | 4943
9e50 | 4634
9e60 | 46cb
9e70 | 4666
9e80 | 46cb
9e90 | 4944
9ea0 | 1701
9eb0 | 16e8
9ec0 | 4ad7
9ed0 | 4892
9ee0 | 4796
9ef0 | 4795
9f00 | 14bc
9f10 | 16e9
9f20 | 1702
9f30 | 16e8
9f40 | 4b0a
9f50 | 4763
9f60 | 46cb
9f70 | 46b2
9f80 | 4763
9f90 | 4b0a
9fa0 | 1701
9fb0 | 1701
9fc0 | 4a40
9fd0 | 482d
9fe0 | 14d5
9ff0 | 14d5
a000 | 477c
a010 | 4a0d
a020 | 16e8
a030 | 1701
a040 | 16e9
a050 | 14d5
a060 | 46b2
a070 | 464c
a080 | 46cb
a090 | 49c1
a0a0 | 1701
a0b0 | 1701
a0c0 | 16e8
a0d0 | 171a
a0e0 | 171b
a0f0 | 1734
a100 | 1734
a110 | 1734
a120 | 49a8
a130 | 495d
a140 | 171a
a150 | 171b
a160 | 495c
a170 | 495c
a180 | 171b
a190 | 171b
a1a0 | 49c2
a1b0 | 498f
a1c0 | 4abf
a1d0 | 4a26
a1e0 | 171b
a1f0 | 171b
a200 | 171b
a210 | 1701
a220 | 498f
a230 | 49c2
a240 | 1701
a250 | 1701
a260 | 49f4
a270 | 4a0d
a280 | 4c39
a290 | 49db
a2a0 | 4a59
a2b0 | 49c2
a2c0 | 4943
a2d0 | 4943
a2e0 | 492a
a2f0 | 4976
a300 | 1701
a310 | 1701
a320 | 495d
a330 | 4976
a340 | 4aa5
a350 | 4a59
a360 | 4a40
a370 | 4a27
a380 | 4a72
a390 | 4ad7
a3a0 | 4c85
a3b0 | 4b0a
a3c0 | 4975
a3d0 | 4814
a3e0 | 15eb
a3f0 | 15ec
a400 | 48c5
a410 | 4a26
a420 | 4943
a430 | 49a8
a440 | 495d
a450 | 47e1
a460 | 49db
a470 | 4a8b
a480 | 15d2
a490 | 1702
a4a0 | 1702
a4b0 | 171b
a4c0 | 1701
a4d0 | 15eb
a4e0 | 15d2
a4f0 | 15eb
a500 | 15ec
a510 | 171a
a520 | 171b
a530 | 171b
a540 | 1701
a550 | 1605
a560 | 1605
a570 | 15eb
a580 | 4846
a590 | 4975
a5a0 | 4a0d
a5b0 | 498f
a5c0 | 4a0d
a5d0 | 48ac
a5e0 | 4911
a5f0 | 4a8b
a600 | 1604
a610 | 171b
a620 | 1734
a630 | 1734
a640 | 171b
a650 | 15ec
a660 | 15eb
a670 | 15eb
a680 | 15ec
a690 | 171a
a6a0 | 49db
a6b0 | 4a0d
a6c0 | 171b
a6d0 | 16e9
a6e0 | 1701
a6f0 | 1701
a700 | 1701
a710 | 1817
a720 | 4a5a
a730 | 4af1
a740 | 4b0a
a750 | 49f5
a760 | 4910
a770 | 4975
a780 | 498f
a790 | 4b6f
a7a0 | 4aa5
a7b0 | 4a27
a7c0 | 17fe
a7d0 | 1701
a7e0 | 1702
a7f0 | 1701
a800 | 495c
a810 | 4b56
a820 | 4b56
a830 | 4b0a
a840 | 4c86
a850 | 49da
a860 | 4601
a870 | 4846
a880 | 1604
a890 | 15d3
a8a0 | 48ab
a8b0 | 48c4
a8c0 | 4537
a8d0 | 44d1
a8e0 | 4550
a8f0 | 4583
a900 | 4582
a910 | 4537
a920 | 13c0
a930 | 15ec
a940 | 15ec
a950 | 13a6
a960 | 13bf
a970 | 13bf
a980 | 13a6
a990 | 15b9
a9a0 | 15eb
a9b0 | 15eb
a9c0 | 15eb
a9d0 | 13a7
a9e0 | 13bf
a9f0 | 13bf
aa00 | 13bf
aa10 | 15ec
aa20 | 4879
aa30 | 482d
aa40 | 15d2
aa50 | 13a6
aa60 | 13bf
aa70 | 13c0
aa80 | 4582
aa90 | 48de
aaa0 | 15eb
aab0 | 15d2
aac0 | 15d2
aad0 | 14d5
aae0 | 474a
aaf0 | 474a
ab00 | 14d5
ab10 | 1701
ab20 | 1701
ab30 | 1702
ab40 | 171b
ab50 | 14d6
ab60 | 46cb
ab70 | 46b2
ab80 | 4814
ab90 | 4a40
aba0 | 4a5a
abb0 | 498f
abc0 | 498f
abd0 | 4717
abe0 | 46cb
abf0 | 46b2
ac00 | 464d
ac10 | 49a8
ac20 | 49a8
ac30 | 49a8
ac40 | 495d
ac50 | 47af
ac60 | 14d6
ac70 | 14d5
ac80 | 14bd
ac90 | 1702
aca0 | 4943
acb0 | 49c2
acc0 | 495c
acd0 | 46cb
ace0 | 4717
acf0 | 4633
ad00 | 4730
ad10 | 4911
ad20 | 16e8
ad30 | 16e9
ad40 | 16e8
ad50 | 14bc
ad60 | 46cb
ad70 | 4666
ad80 | 14bc
ad90 | 1701
ada0 | 4a8b
adb0 | 4b56
adc0 | 1702
add0 | 171b
ade0 | 498f
adf0 | 492a
ae00 | 4a27
ae10 | 4a59
ae20 | 1702
ae30 | 171b
ae40 | 171a
ae50 | 1702
ae60 | 171b
ae70 | 171b
ae80 | 49db
ae90 | 49a9
aea0 | 171b
aeb0 | 1701
aec0 | 49a9
aed0 | 4a0e
aee0 | 4c9f
aef0 | 4bbb
af00 | 171a
af10 | 1701
af20 | 171a
af30 | 171a
af40 | 1701
af50 | 1701
af60 | 1701
af70 | 1701
af80 | 1702
af90 | 1702
afa0 | 4a59
afb0 | 498f
afc0 | 171b
afd0 | 1702
afe0 | 49c2
aff0 | 492a
b000 | 4975
b010 | 495c
b020 | 1701
b030 | 16e8
b040 | 4abe
b050 | 4a40
b060 | 1734
b070 | 171a
b080 | 171b
b090 | 171a
b0a0 | 4a72
b0b0 | 4bbc
b0c0 | 1701
b0d0 | 15eb
b0e0 | 15eb
b0f0 | 15d2
b100 | 15ec
b110 | 1701
b120 | 4bed
b130 | 4a27
b140 | 49da
b150 | 48ab
b160 | 1605
b170 | 15eb
b180 | 15ec
b190 | 1701
b1a0 | 492a
b1b0 | 4975
b1c0 | 1701
b1d0 | 15eb
b1e0 | 15eb
b1f0 | 15ec
b200 | 15ec
b210 | 171b
b220 | 4a72
b230 | 49f4
b240 | 49c1
b250 | 4a27
b260 | 1605
b270 | 1604
b280 | 1604
b290 | 171b
b2a0 | 4910
b2b0 | 498f
b2c0 | 1702
b2d0 | 1604
b2e0 | 482d
b2f0 | 47e2
b300 | 1604
b310 | 171b
b320 | 171b
b330 | 1701
b340 | 4a72
b350 | 48f7
b360 | 1605
b370 | 15ec
b380 | 1605
b390 | 1702
b3a0 | 171a
b3b0 | 171b
b3c0 | 1701
b3d0 | 16e8
b3e0 | 48f7
b3f0 | 492a
b400 | 1702
b410 | 1817
b420 | 4ad8
b430 | 4abe
b440 | 4b88
b450 | 4abe
b460 | 1701
b470 | 1702
b480 | 4b23
b490 | 4b3c
b4a0 | 1818
b4b0 | 1817
b4c0 | 1817
b4d0 | 1701
b4e0 | 16e8
b4f0 | 1702
b500 | 4a59
b510 | 4bbb
b520 | 17fe
b530 | 1817
b540 | 4c07
b550 | 4878
b560 | 13a6
b570 | 15eb
b580 | 15eb
b590 | 15d2
b5a0 | 4763
b5b0 | 47c8
b5c0 | 4763
b5d0 | 46fe
b5e0 | 44eb
b5f0 | 44d1
b600 | 4550
b610 | 4550
b620 | 13a6
b630 | 15d3
b640 | 4814
b650 | 4583
b660 | 44eb
b670 | 4537
b680 | 45ce
b690 | 47e1
b6a0 | 15d2
b6b0 | 15eb
b6c0 | 15eb
b6d0 | 13bf
b6e0 | 45b5
b6f0 | 4537
b700 | 45e7
b710 | 4943
b720 | 15ec
b730 | 15eb
b740 | 15ec
b750 | 13bf
b760 | 13a6
b770 | 13bf
b780 | 13a6
b790 | 15d2
b7a0 | 4847
b7b0 | 4911
b7c0 | 4860
b7d0 | 4749
b7e0 | 46b1
b7f0 | 46b2
b800 | 46fe
b810 | 4976
b820 | 1702
b830 | 1702
b840 | 492a
b850 | 4796
b860 | 14d6
b870 | 14d5
b880 | 4763
b890 | 4a59
b8a0 | 1701
b8b0 | 16e8
b8c0 | 1701
b8d0 | 14bc
b8e0 | 14bd
b8f0 | 14bc
b900 | 4763
b910 | 4bd4
b920 | 1702
b930 | 16e8
b940 | 49f4
b950 | 4717
b960 | 4796
b970 | 47fa
b980 | 46cb
b990 | 49a8
b9a0 | 4a0d
b9b0 | 4a0d
b9c0 | 48de
b9d0 | 461b
b9e0 | 4698
b9f0 | 4666
ba00 | 4699
ba10 | 49c1
ba20 | 48de
ba30 | 492a
ba40 | 1702
ba50 | 14bd
ba60 | 14d6
ba70 | 14bc
ba80 | 464d
ba90 | 49db
baa0 | 16e8
bab0 | 16e8
bac0 | 1701
bad0 | 1701
bae0 | 171b
baf0 | 171b
bb00 | 4976
bb10 | 4976
bb20 | 1733
bb30 | 1701
bb40 | 171b
bb50 | 171b
bb60 | 4976
bb70 | 4a40
